Field of Study,Current Occupation,Age,Gender,Years of Experience,Education Level,Industry Growth Rate,Job Satisfaction,Work-Life Balance,Job Opportunities,Salary,Job Security,Career Change Interest,Skills Gap,Certifications,Freelancing Experience,Geographic Mobility,Professional Networks,Career Change Events,Technology Adoption,Likely to Change Occupation,LogSalary
Law,Mechanical Engineer,26.0,Male,28.0,PhD,High,8.0,10.0,3.0,176323.0,9.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,5.2463089664205675
Biology,Mechanical Engineer,43.0,Female,10.0,PhD,High,1.0,8.0,21.0,187661.0,2.0,0.0,6.0,1.0,1.0,1.0,6.0,2.0,8.0,1.0,5.273374026245963
Arts,Software Developer,31.0,Male,31.0,Master's,Medium,6.0,4.0,33.0,104441.0,8.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,7.0,0.0,5.018871021446605
Mechanical Engineering,Economist,58.0,Female,14.0,Bachelor's,Medium,7.0,1.0,75.0,87660.0,3.0,1.0,9.0,0.0,0.0,1.0,8.0,1.0,4.0,1.0,4.94280146631794
Medicine,Business Analyst,35.0,Female,5.0,Bachelor's,Medium,10.0,3.0,41.0,125081.0,2.0,0.0,7.0,1.0,0.0,1.0,4.0,0.0,8.0,0.0,5.097191344690706
Medicine,Biologist,51.0,Male,17.0,Bachelor's,Medium,3.0,6.0,37.0,32920.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,4.517459826540232
Education,Lawyer,39.0,Male,3.0,PhD,Medium,4.0,8.0,50.0,146400.0,3.0,0.0,4.0,0.0,1.0,1.0,6.0,2.0,10.0,1.0,5.1655410767223735
Psychology,Psychologist,31.0,Male,17.0,PhD,High,1.0,3.0,26.0,49975.0,4.0,1.0,7.0,1.0,0.0,1.0,9.0,1.0,6.0,1.0,4.698752802790154
Law,Doctor,44.0,Female,1.0,Master's,Medium,1.0,9.0,28.0,97649.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,6.0,1.0,4.9896678001409684
Education,Teacher,31.0,Female,0.0,High School,Low,1.0,9.0,64.0,101635.0,9.0,0.0,5.0,1.0,0.0,0.0,6.0,2.0,4.0,1.0,5.007043291504049
Mechanical Engineering,Mechanical Engineer,28.0,Male,36.0,PhD,Medium,1.0,7.0,35.0,106260.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,5.026369811573718
Arts,Doctor,50.0,Female,22.0,PhD,Medium,4.0,7.0,45.0,158335.0,2.0,0.0,7.0,0.0,0.0,0.0,5.0,2.0,6.0,1.0,5.199576926402006
Mechanical Engineering,Software Developer,45.0,Male,9.0,Bachelor's,Medium,2.0,1.0,26.0,66487.0,8.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,9.0,1.0,4.822736737330405
Education,Mechanical Engineer,25.0,Male,8.0,High School,High,9.0,9.0,77.0,186995.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,5.271829994229331
Medicine,Artist,40.0,Male,0.0,PhD,Medium,7.0,5.0,19.0,65643.0,9.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0,4.817188420852617
Psychology,Biologist,45.0,Female,1.0,Bachelor's,High,10.0,9.0,12.0,51636.0,2.0,0.0,4.0,0.0,0.0,1.0,5.0,2.0,7.0,0.0,4.71295259213018
Biology,Artist,55.0,Male,14.0,PhD,High,6.0,3.0,,76413.0,4.0,,4.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,4.883167250564963
Mechanical Engineering,Software Developer,32.0,Female,25.0,High School,Medium,7.0,10.0,39.0,102588.0,7.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,8.0,0.0,5.011096563128871
Education,Doctor,41.0,Female,20.0,Bachelor's,High,10.0,9.0,15.0,111929.0,8.0,0.0,10.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0,5.048942623688823
Medicine,Teacher,44.0,Female,18.0,PhD,Medium,1.0,7.0,69.0,56160.0,3.0,1.0,1.0,0.0,,0.0,,2.0,,1.0,4.749427099121749
Arts,Artist,44.0,Female,34.0,Master's,High,2.0,3.0,42.0,193189.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,4.0,1.0,5.285982394464029
Law,Biologist,52.0,Female,2.0,High School,High,6.0,9.0,68.0,146492.0,1.0,1.0,5.0,0.0,1.0,0.0,6.0,0.0,10.0,1.0,5.16581390830295
Psychology,Economist,25.0,Female,22.0,PhD,Medium,6.0,1.0,35.0,39686.0,4.0,0.0,10.0,0.0,0.0,0.0,10.0,1.0,9.0,1.0,4.598637328046221
Medicine,Software Developer,35.0,Female,7.0,PhD,Low,7.0,3.0,5.0,48752.0,9.0,0.0,4.0,1.0,1.0,0.0,6.0,1.0,4.0,1.0,4.687992436878599
Computer Science,Doctor,21.0,Male,20.0,Bachelor's,Low,9.0,9.0,65.0,157810.0,4.0,0.0,10.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,5.198134519831676
Education,Economist,37.0,Male,34.0,Bachelor's,Medium,6.0,3.0,80.0,61750.0,4.0,1.0,5.0,0.0,0.0,1.0,10.0,0.0,2.0,1.0,4.790636961931703
Arts,Economist,52.0,Female,30.0,Bachelor's,High,6.0,4.0,3.0,196370.0,9.0,1.0,5.0,0.0,0.0,1.0,4.0,1.0,6.0,1.0,5.2930751401228635
Mechanical Engineering,Doctor,38.0,Male,4.0,Master's,Medium,10.0,9.0,2.0,149863.0,9.0,0.0,9.0,1.0,0.0,0.0,1.0,2.0,8.0,0.0,5.175694422179104
Computer Science,Biologist,58.0,Female,28.0,PhD,Medium,7.0,2.0,63.0,4532321.0,3.0,0.0,6.0,0.0,1.0,0.0,5.0,1.0,6.0,0.0,6.656320661030679
Biology,Teacher,42.0,Female,38.0,High School,High,5.0,10.0,85.0,46052.0,2.0,0.0,4.0,0.0,0.0,1.0,7.0,0.0,10.0,1.0,4.663248495990033
Business,Mechanical Engineer,37.0,Female,34.0,High School,High,4.0,6.0,42.0,147360.0,9.0,0.0,8.0,1.0,0.0,0.0,2.0,1.0,8.0,1.0,5.168379612852774
Biology,Doctor,53.0,Female,21.0,PhD,High,1.0,7.0,88.0,86492.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,8.0,1.0,4.93697593964367
Computer Science,Biologist,39.0,Male,39.0,Bachelor's,Low,4.0,4.0,15.0,155426.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,8.0,1.0,5.191523670269467
Law,Artist,28.0,Female,14.0,Bachelor's,Low,1.0,4.0,68.0,187261.0,9.0,0.0,10.0,1.0,0.0,0.0,8.0,1.0,6.0,1.0,5.272447338248604
Biology,Mechanical Engineer,30.0,Female,14.0,High School,Medium,7.0,9.0,25.0,100119.0,10.0,0.0,6.0,0.0,0.0,1.0,8.0,0.0,3.0,0.0,5.000516503174992
Education,Doctor,58.0,Male,,High School,Low,2.0,5.0,13.0,155588.0,8.0,0.0,7.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0,5.19197609821439
Mechanical Engineering,Biologist,34.0,Female,26.0,Bachelor's,Low,3.0,7.0,88.0,190811.0,6.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,8.0,1.0,5.280603407588189
Education,Teacher,35.0,Female,0.0,PhD,High,3.0,1.0,4.0,51727.0,10.0,0.0,9.0,1.0,0.0,0.0,9.0,1.0,10.0,1.0,4.713717291453225
Education,Teacher,31.0,,13.0,Bachelor's,High,2.0,5.0,20.0,147322.0,3.0,1.0,6.0,0.0,0.0,0.0,10.0,1.0,3.0,1.0,5.16826760607663
Education,Biologist,57.0,Male,39.0,Master's,High,10.0,6.0,46.0,134195.0,9.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,4.0,0.0,5.1277363346641005
,,,,,,,,,,,,,,,,,,,,,
Computer Science,Mechanical Engineer,47.0,Male,10.0,High School,Medium,1.0,1.0,70.0,64051.0,4.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,10.0,1.0,4.806525914581746
Mechanical Engineering,Psychologist,32.0,Male,29.0,Bachelor's,Medium,6.0,1.0,51.0,53284.0,3.0,0.0,10.0,0.0,0.0,0.0,5.0,1.0,10.0,0.0,4.72659681962924
Business,Doctor,58.0,Female,34.0,High School,High,4.0,6.0,41.0,174565.0,9.0,0.0,8.0,0.0,0.0,0.0,7.0,2.0,7.0,1.0,5.241957172756818
Law,Teacher,35.0,Female,30.0,Bachelor's,High,6.0,9.0,45.0,35347.0,8.0,0.0,2.0,0.0,0.0,1.0,6.0,2.0,2.0,1.0,4.548352559894337
Law,Business Analyst,43.0,Male,6.0,High School,Medium,10.0,8.0,14.0,181716.0,10.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,9.0,1.0,5.259393168396566
Computer Science,Mechanical Engineer,23.0,Male,6.0,Bachelor's,Low,1.0,1.0,24.0,127852.0,2.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,5.106707526121995
Biology,Mechanical Engineer,41.0,Female,1.0,Bachelor's,Medium,3.0,7.0,86.0,104071.0,8.0,0.0,10.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,5.017329727641336
Business,Economist,34.0,Female,39.0,High School,Low,6.0,4.0,92.0,30781.0,9.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,4.488282724898554
Psychology,Economist,58.0,Female,22.0,High School,Low,2.0,3.0,69.0,163623.0,10.0,0.0,9.0,0.0,0.0,0.0,8.0,1.0,10.0,1.0,5.213844351114062
Business,Economist,31.0,Female,6.0,PhD,Low,3.0,2.0,40.0,167701.0,1.0,0.0,7.0,1.0,0.0,0.0,6.0,1.0,6.0,1.0,5.22453565230905
Psychology,Artist,31.0,Male,15.0,High School,Low,7.0,5.0,21.0,145357.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.1624359510577476
Mechanical Engineering,Teacher,24.0,Male,27.0,High School,High,4.0,6.0,50.0,161717.0,3.0,0.0,9.0,0.0,0.0,0.0,6.0,2.0,10.0,1.0,5.208755676171837
Biology,Lawyer,45.0,Female,32.0,High School,Low,4.0,2.0,41.0,174302.0,2.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,5.241302370380105
Mechanical Engineering,Mechanical Engineer,54.0,Female,27.0,Master's,Low,6.0,9.0,20.0,58795.0,1.0,1.0,7.0,0.0,0.0,0.0,5.0,2.0,9.0,1.0,4.769340394703022
Biology,Biologist,33.0,Female,11.0,High School,Low,9.0,3.0,77.0,171521.0,3.0,1.0,7.0,0.0,0.0,1.0,8.0,1.0,3.0,1.0,5.234317300039354
Psychology,Business Analyst,44.0,Female,23.0,Bachelor's,Medium,6.0,7.0,22.0,48351.0,9.0,0.0,3.0,1.0,0.0,1.0,9.0,2.0,7.0,1.0,4.684405460631861
Arts,Psychologist,33.0,Female,37.0,High School,High,4.0,8.0,81.0,79437.0,9.0,0.0,8.0,0.0,0.0,0.0,9.0,2.0,4.0,1.0,4.9000228343286185
Law,Mechanical Engineer,41.0,Male,15.0,High School,Medium,1.0,3.0,11.0,95087.0,2.0,0.0,5.0,0.0,0.0,1.0,9.0,0.0,9.0,1.0,4.978121145600009
Business,Psychologist,36.0,Female,23.0,,High,8.0,7.0,47.0,167653.0,9.0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,7.0,0.0,5.224411329144432
Business,Economist,31.0,Male,2.0,Bachelor's,Medium,8.0,2.0,91.0,41190.0,9.0,0.0,7.0,0.0,0.0,0.0,10.0,2.0,8.0,1.0,4.614791791956417
Psychology,Teacher,20.0,Male,28.0,High School,High,3.0,,14.0,35410.0,,0.0,6.0,0.0,0.0,0.0,10.0,2.0,5.0,1.0,4.549125926758111
Biology,Software Developer,28.0,Female,36.0,High School,High,1.0,8.0,21.0,65634.0,7.0,0.0,7.0,,0.0,,1.0,2.0,8.0,1.0,4.817128872716336
Law,Biologist,31.0,Male,32.0,High School,Medium,7.0,10.0,69.0,198455.0,9.0,0.0,7.0,0.0,0.0,0.0,2.0,,1.0,0.0,5.297662045269156
Business,Mechanical Engineer,56.0,Male,27.0,PhD,High,1.0,10.0,15.0,175448.0,7.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,9.0,1.0,5.244148421887906
Medicine,Psychologist,39.0,Female,26.0,High School,Medium,6.0,3.0,16.0,52785.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,4.722510525890873
Medicine,Lawyer,57.0,Female,20.0,Bachelor's,Low,2.0,4.0,99.0,197340.0,7.0,0.0,6.0,0.0,0.0,0.0,9.0,2.0,7.0,1.0,5.295215123866298
Law,Teacher,55.0,Female,32.0,PhD,Low,2.0,8.0,28.0,98803.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,4.994770131466834
Biology,Lawyer,53.0,Female,11.0,Bachelor's,High,4.0,1.0,50.0,168141.0,8.0,1.0,3.0,0.0,0.0,1.0,10.0,2.0,2.0,1.0,5.22567362600722
Economics,Biologist,49.0,Female,36.0,Bachelor's,High,5.0,10.0,35.0,188806.0,6.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,5.276015791474164
Arts,Software Developer,32.0,Female,21.0,High School,Low,7.0,3.0,3.0,142169.0,2.0,0.0,3.0,0.0,0.0,1.0,7.0,2.0,1.0,0.0,5.152804908653577
Law,Psychologist,32.0,Male,33.0,Master's,Low,1.0,3.0,82.0,104965.0,9.0,0.0,3.0,0.0,1.0,1.0,6.0,2.0,5.0,1.0,5.021044510109803
Mechanical Engineering,Economist,31.0,Female,20.0,Bachelor's,Low,7.0,5.0,81.0,162279.0,4.0,0.0,10.0,1.0,0.0,0.0,4.0,1.0,7.0,0.0,5.210262322819447
